,0,1,2,3,4,5,6,7,8,9,ATS_KDCD_DTL,LABEL
18340,0,0,0,0,0,0,0,0,1,217,지로 출금이체,33
18341,0,0,0,0,0,0,0,0,1,896,지로 출금이체,33
18342,0,0,0,0,0,0,0,0,1,896,펌뱅킹 출금이체,33
18343,0,0,0,0,0,0,0,0,1,896,지로 출금이체,33
18344,0,0,0,0,0,0,0,0,1,19495,CMS공동망 출금이체,19
18345,0,0,0,0,0,0,0,0,1,896,지로 출금이체,33
18346,0,0,0,0,0,0,0,0,1,896,펌뱅킹 출금이체,33
18347,0,0,0,0,0,0,0,0,1,168,지로 출금이체,29
18348,0,0,0,0,0,0,0,0,31559,637,지로 출금이체,29
18349,0,0,0,0,0,0,0,31559,413,168,지로 출금이체,29
18350,0,0,0,0,0,0,0,31559,153,1,지로 출금이체,29
18351,0,0,0,0,0,0,0,0,31559,168,지로 출금이체,29
18352,0,0,0,0,0,0,0,31559,168,19496,지로 출금이체,29
18353,0,0,0,0,0,0,0,0,1,1,지로 출금이체,29
18354,0,0,0,0,0,0,0,1,1,160,아파트관리비 출금이체,2
18355,0,0,0,0,0,0,0,1,1,403,아파트관리비 출금이체,2
18356,0,0,0,0,0,0,0,1,1,308,아파트관리비 출금이체,2
18357,0,0,0,0,0,0,0,1,1088,160,아파트관리비 출금이체,2
18358,0,0,0,0,0,0,0,1,1088,180,아파트관리비 출금이체,2
18359,0,0,0,0,0,0,0,1,4016,160,아파트관리비 출금이체,2
18360,0,0,0,0,0,0,0,1,4016,308,아파트관리비 출금이체,2
18361,0,0,0,0,0,0,0,0,1,160,아파트관리비 출금이체,2
18362,0,0,0,0,0,0,0,0,1,403,아파트관리비 출금이체,2
18363,0,0,0,0,0,0,0,1,1924,238,지로 출금이체,32
18364,0,0,0,0,0,0,1,884,1088,403,아파트관리비 출금이체,2
18365,0,0,0,0,0,0,1,884,1088,180,아파트관리비 출금이체,2
18366,0,0,0,0,0,0,0,0,1,902,전자뱅킹예약건별이체,2
18367,0,0,0,0,0,0,0,1,1402,189,지로 출금이체,7
18368,0,0,0,0,0,0,0,1,96,56,요구불간계좌이체,29
18369,0,0,0,0,0,0,0,0,1,924,전자뱅킹예약건별이체,8
18370,0,0,0,0,0,0,0,1,6,254,지로 출금이체,7
18371,0,0,0,0,0,0,0,0,1,679,지로 출금이체,7
18372,0,0,0,0,0,0,0,1,957,174,CMS공동망 출금이체,16
18373,0,0,0,0,0,0,0,1,970,44,요구불간계좌이체,34
18374,0,0,0,0,0,0,0,0,1,10781,전자뱅킹예약건별이체,2
18375,0,0,0,0,0,0,0,1,14951,212,지로 출금이체,11
18376,0,0,0,0,0,0,0,1,252,189,지로 출금이체,7
18377,0,0,0,0,0,0,0,1,1,189,지로 출금이체,7
18378,0,0,0,0,0,0,0,1,574,10784,지로 출금이체,2
18379,0,0,0,0,0,0,0,1,811,4802,지로 출금이체,11
